date,title,paragraph,year_month
2021-02-28,新增1例境外移入COVID-19病例，自波蘭入境,"中央流行疫情指揮中心今(28)日公布國內新增1例境外移入COVID-19確定病例，為本國籍20多歲男性(案956)，去(2020)年9月至波蘭就學，今(2021)年1月28日返臺，持有搭機前3日內檢驗陰性報告，入境後獨自於親戚家檢疫，檢疫期間皆無症狀。
指揮中心表示，個案於2月12日檢疫期滿後，返回住家進行自主健康管理，因預定回波蘭就學，2月26日至醫院自費採檢，於今日確診(Ct值31，次日再採驗核酸為陰性，血清抗體IgM為陰性、IgG為陽性)。個案迄今仍無症狀，已掌握接觸者2人，列居家隔離。
指揮中心統計，截至目前國內累計174,659例新型冠狀病毒肺炎相關通報(含172,595例排除)，其中955例確診，分別 為839例境外移入，77例本土病例，36例敦睦艦隊、2例航空器感染及1例不明；另1例(案530)移除為空號。確診個案中9人死亡、919人解除隔離、27人住院隔離中。

",2021-02
2021-02-27,自3月1日起，實施居家(個別)隔離「1人1戶」新制,"中央流行疫情指揮中心今(27)日表示，考量全球COVID-19疫情仍然嚴峻，為提升我國社區防疫安全並確保國人健康，自3月1日起，實施確定病例接觸者之居家(個別)隔離措施，須採「1人1戶」。
指揮中心進一步指出，「1人1戶」是指於隔離期間，除經專案核准，同戶內不可有非隔離者；若家戶內有非隔離者，須至防疫旅宿或由地方政府協調至集中檢疫所進行隔離，並由地方政府安排前往隔離地點之交通方式。家戶中所有同住者若皆為隔離者，且與確定病例之最後接觸日皆相同，則可於同一戶家中之獨立專用房間(含衛浴設備)，以「1人1室」方式進行隔離。
指揮中心表示，考量未成年者、65歲以上長者、身心障礙/失能者、重大傷病者等具共同照顧需求，彈性准予非隔離者在隔離地點同住，不受1人1室限制；但基於風險管理考量，照顧者以1名為限，並須為固定人員，且應比照隔離者，開立隔離通知書，同時進行隔離、設定電子圍籬系統、期滿自主健康管理及遵守相關規定與注意事項。
民眾於隔離期間若有醫療照護需求，應先主動與衛生局聯繫，禁止自行前往就醫，衛生局同意居家隔離者外出就醫後，須先行聯繫醫療院所，醫療院所於接獲衛生局通知時，應事先了解居家隔離者之病況、主訴、TOCC及是否進行SARS-CoV-2採檢等，預先妥為規劃就診動線、分流措施、安排就診時間及相關醫療照護人員等感染管制措施，並請衛生局依約定時間及地點安排或指定病人交通接送，以準時到達醫療院所。


",2021-02
2021-02-27,新增3例境外移入COVID-19病例，分別自英國、越南及菲律賓入境,"中央流行疫情指揮中心今(27)日公布國內新增3例境外移入COVID-19確定病例，分別自英國(案953)、越南(案954)及菲律賓(案955)入境。
指揮中心表示，案953為英國籍20多歲女性，個案今(2021)年1月8日曾於英國當地檢出COVID-19陽性，後於2月12日來臺就學，持有2次(2月7日及2月9日)搭機前檢驗陰性報告，入境後即至集中檢疫所進行集中檢疫，並於2月13日第1次採檢，檢驗結果為陰性，入境檢疫迄今均無不適症狀；於2月25日檢疫期滿前採檢，並於今日確診(25日採檢Ct值29、次日34，血清抗體IgM陰性、IgG陽性)。因個案檢疫期間未與他人接觸，故無匡列接觸者。
指揮中心指出，案954為印尼籍20多歲男性船員，於108年5月23日入境臺灣，並於同日搭船出境；返臺前航程為今年2月3日自越南出境，2月8日入境臺灣。入境後至防疫旅館檢疫，檢疫期滿後返回船上自主健康管理，迄今皆無症狀； 2月25日個案由仲介公司安排專車至醫院自費採檢，並於今日確診(Ct值32，血清抗體IgM陽性、IgG陽性)。已掌握個案接觸者共48人，包含同船船員24人列為居家隔離對象；其餘24人因有適當防護，列自主健康管理。
指揮中心表示，案955為菲律賓籍30多歲女性移工，於今年2月5日入境，持有搭機前3日內檢驗陰性報告，入境後即至集中檢疫所進行集中檢疫，2月18日檢疫期滿前採檢，檢驗結果為陰性，檢疫期滿後由仲介安排至住宿地點自主健康管理，2月26日由仲介安排專車接送至醫院自費採檢，並於今日確診(26日採檢Ct值32、同日再採陰性，血清抗體IgM陽性、IgG陽性)，個案迄今皆無症狀。已掌握個案接觸者共2人，因有適當防護，列自主健康管理。
指揮中心統計，截至目前國內累計174,435例新型冠狀病毒肺炎相關通報(含172,288例排除)，其中954例確診，分別為838例境外移入，77例本土病例，36例敦睦艦隊、2例航空器感染及1例不明；另1例(案530)移除為空號。確診個案中9人死亡、917人解除隔離、28人住院隔離中。


",2021-02
2021-02-25,新增5例境外移入COVID-19病例，皆自菲律賓入境,"中央流行疫情指揮中心今(25)日公布國內新增5例境外移入COVID-19確定病例(案948至952)，均為菲律賓籍女性移工，年齡介於20多歲至30多歲，今(2021)年2月3日搭乘同班機來臺工作，皆持有搭機前3日內檢驗陰性報告，入境時無症狀，並至集中檢疫所檢疫。
指揮中心指出，5名個案曾於2月16日接受檢疫期滿前採檢，結果皆為陰性，檢疫期滿後由仲介安排至住宿地點自主健康管理，2月23日由仲介安排專車接送至醫院自費採檢，因檢出COVID-19陽性，於今日確診(次日再驗5人核酸皆為陰性；另除案951血清抗體IgM及IgG均陽性外，其餘4人皆IgM陰性、IgG陽性)；5人迄今皆無症狀。個案於自主健康管理期間除至醫院採檢外，其他時間均無外出，已掌握專車接觸者共19人，因皆有佩戴口罩，故列為自主健康管理對象。
指揮中心統計，截至目前國內累計173,472例新型冠狀病毒肺炎相關通報(含171,619例排除)，其中951例確診，分別為835例境外移入，77例本土病例，36例敦睦艦隊、2例航空器感染及1例不明；另1例(案530)移除為空號。確診個案中9人死亡、906人解除隔離、36人住院隔離中。

",2021-02
2021-02-24,3月1日起，恢復非本國籍人士入境條件及桃園機場轉機作業,"中央流行疫情指揮中心今(24)日表示，考量國際COVID-19疫情、國內防疫量能，及商務經貿交流等需求，自今(2021)年3月1日零時起(啟程地時間)，恢復非本國籍人士入境條件及桃園機場轉機作業，相關規定如下：
(一)非本國籍人士須符合下列條件，始得入境：
1.持有效居留證之非本國籍人士(含外籍、港澳及大陸人士)均得入境。
2.無居留證之外籍人士：除觀光、一般社會訪問以外，得向外交部駐外館處申請特別入境許可。
3.陸港澳人士：
(1)中國大陸人士：持有居留證、人道考量及緊急協處(如奔喪、探視重病親屬等)、國人之陸籍配偶及未成年子女、在臺居留外來人口之陸籍配偶及未成年子女(隨行團聚)、經教育部許可之學生、經衛福部許可之國際醫療人員、專案許可。
(2)港澳人士：持有居留證、人道考量及緊急協處(如奔喪、探視重病親屬等)、國人之港澳籍配偶及未成年子女、商務履約、跨國企業內部調動、經教育部許可之學生、經衛福部許可之國際醫療人員、專案許可。
(二)恢復交通部所提的桃園機場開放轉機方案，旅客須搭乘同一航空集團的營運航班，且限制轉機停留時間在8小時以內；轉機旅客機上座位區隔、下機後動線分流、飲食及購物等由專人全程監護下提供服務，如有航班延遲或旅客健康狀況異常情形，也都有擬妥應變計畫。
指揮中心指出，為確保國內防疫安全，將持續實施邊境風險嚴管，非本國籍人士搭機入境臺灣，或需經我國機場轉機者，均應出示「表定航班時間(Flight schedule time)前3日內COVID-19核酸檢驗陰性報告」後搭機來臺；入境臺灣旅客應事前安排檢疫居所(防疫旅宿或1人1戶居家檢疫)，且須於「入境檢疫系統」完成線上健康申報並切結符合相關規定。入境檢疫措施將視疫情及執行狀況，適時滾動調整。

",2021-02
2021-02-24,新增4例境外移入COVID-19病例，分別自美國及馬來西亞入境,"中央流行疫情指揮中心今(24)日公布國內新增4例境外移入COVID-19確定病例(案944至947)，分別自美國(3例)及馬來西亞(1例)入境。
指揮中心表示，案944為美國籍30多歲男性，今(2021)年1月5日曾於美國當地檢出COVID-19陽性，後於1月26日、27日及2月3日三次檢驗結果皆為陰性，在美期間均無症狀。個案於2月5日來臺洽公，入境檢疫迄今無症狀；個案2月21日檢疫期滿，22日至醫院自費採檢，並於今日確診(22日及23日採檢Ct值均為34，血清抗體IgM陰性、IgG陽性)。由於個案無症狀，檢疫期滿後接觸之人員皆有適當防護，故無匡列接觸者。
案945為本國籍30多歲女性，長期居住美國(2018年11月自臺灣出境)，去(2020)年10月30日曾出現喉嚨不適情形，並於美國當地檢出COVID-19陽性，11月3日症狀好轉，12月30日再次檢驗為陰性，於今年1月3日返臺，入境檢疫迄今無症狀。個案因出境需要，2月22日至醫院自費採檢，於今日確診(Ct值34，次日再驗核酸為陰性，血清抗體IgM陰性、IgG陽性)。衛生單位已掌握個案接觸者共7人，均列居家隔離。
案946為本國籍40多歲男性，長期於馬來西亞工作(2019年12月自臺灣出境)，去年11月30日曾出現發燒、嗅味覺異常等症狀，於當地採檢COVID-19陽性後住院隔離，12月12日出院。個案今年1月14日及1月27日檢驗陰性，並於1月29日返臺，入境檢疫迄今無症狀。個案因出境需要，2月21日至醫院自費採檢，於今日確診(Ct值36，次日再驗核酸為陰性，血清抗體IgM陰性、IgG陽性)。衛生單位已掌握個案接觸者共16人，均列居家隔離。
案947為本國籍20多歲女性，長期於美國工作(2019年5月自臺灣出境)，個案自述曾於美國出現嗅味覺異常症狀，並於去年12月2日在當地檢出COVID-19陽性，後於去年12月31日及今年1月6日兩次檢驗結果皆為陰性；個案1月9日返臺，入境檢疫迄今無症狀。個案因出境需要，2月22日至醫院自費採檢，於今日確診(22日及23日採檢Ct值分別為33、32，血清抗體IgM及IgG皆為陽性)。衛生單位已掌握個案接觸者共11人，均列居家隔離。

",2021-02
2021-02-24,柬埔寨病例數增加即日起調整至中低風險國家；不丹連續3週達低風險分級標準增列為低風險國家,"中央流行疫情指揮中心今(24)日表示，全球COVID-19疫情於今(2021)年1月中旬達高峰後趨緩，近1週新增確診、死亡病例已分別降至高峰時5成及6成，美洲、歐洲仍為目前疫情流行中心。
指揮中心指出，柬埔寨自2月20日報告本土群聚疫情以來，截至23日累計137例確診，研判近期病例數將持續增加，故即日起自低風險國家調整至中低風險國家；不丹本土疫情於1月下旬獲得控制，已連續3週達低風險分級標準，故即日起增列為低風險國家。各國感染風險級別最新名單如下：

低感染風險國家/地區：紐西蘭、澳門、帛琉、斐濟、汶萊、寮國、諾魯、東帝汶、模里西斯、馬紹爾群島、不丹。
中低感染風險國家/地區：澳洲、新加坡、越南、柬埔寨。
指揮中心監測資料顯示，全球累計112,021,538例確診，分布於193個國家/地區；病例數以美國28,333,646例、印度11,016,434例、巴西10,257,875例、俄羅斯4,189,153例及英國4,134,639例為多；病例中2,491,273例死亡，以美國511,921例、巴西248,529例、墨西哥180,536例、印度156,463例及英國121,305例為多。
指揮中心籲請民眾自國外入境時，如有發燒、咳嗽等不適症狀，應主動通報檢疫人員，並配合防疫措施；入境後應落實居家檢疫，期間如出現疑似症狀，請主動聯繫衛生局或各縣市關懷中心，並依指示就醫，勿搭乘大眾運輸工具；就醫時請告知醫師旅遊史、職業別、接觸史及是否群聚(TOCC)，以供及時診斷通報。
指揮中心表示，國內今日新增4例境外移入COVID-19病例(案944至947)，截至目前累計172,927例新型冠狀病毒肺炎相關通報(含171,094例排除)，其中946例確診，分別為830例境外移入，77例本土病例，36例敦睦艦隊、2例航空器感染及1例不明；另1例(案530)移除為空號。確診個案中9人死亡、899人解除隔離、38人住院隔離中。
指揮中心於去年12月24日公告「參加大型集會活動之民眾應全程佩戴口罩並遵守飲食規定」原實施至今年2月28日止，考量目前各國陸續傳出變異病毒株，為避免因辦理大型活動造成社區傳播風險，3月1日起，民眾參加大型集會活動期間仍應全程佩戴口罩，除補充水分外，禁止飲食；未佩戴口罩或任意飲食，經工作人員勸導不聽者，由違反義務行為地之地方政府依傳染病防治法第70條第1項規定，處新臺幣3千元以上1萬5千元以下罰鍰。

",2021-02
2021-02-24,自3月1日起恢復低/中低風險國家/地區之可入境人士來臺從事短期商務者申請縮短居家檢疫,"中央流行疫情指揮中心今(24)日表示，自3月1日起恢復低/中低風險國家/地區的可入境人士來臺從事短期商務者申請縮短居家檢疫，但申請者仍須符合「短期商務人士入境申請縮短居家檢疫作業規範」之各項申請條件：(一)為指揮中心宣布可入境之人士(二)申請來臺停留天數小於3個月。(三)來臺從事商務活動，且經在臺合法立案公司提具來臺相關證明文件之商務人士。(四)出發地為中央流行疫情指揮中心公告之低感染風險或中低感染風險國家/地區，且登機前14天無其他國家/地區旅遊史。符合前述四項申請條件之商務人士，於申請時應備妥邀請廠商提供之來臺商務履約相關証明文件資料、在臺行程表及防疫計畫，同時須準備登機前3日內採檢之COVID-19核酸檢驗陰性報告以備查驗。
指揮中心說明，完成申請之商務人士如出發地為低感染風險國家/地區，於入境後可向地方衛生局申請於第5天自費篩檢，如為中低風險國家則可於入境後第7天自費篩檢，取得檢驗結果陰性報告後，即可向地方衛生局申請改為加強自主健康管理至入境後14天，並於入境後第15至21天進行一般自主健康管理。加強自主健康管理期間僅能從事固定且有限度之商務活動，禁止至人潮擁擠場所，需有專人負責接送及全程陪同，以落實各項防護措施，採實名制，並記錄每日活動及接觸人員，不可接觸不特定人士，且應全程佩戴口罩及保持社交距離，另於入境後14天內均須入住防疫旅宿。
指揮中心表示，秋冬防疫專案暫停短期商務人士申請縮短居家檢疫迄今已執行近2個月。經審慎評估，國際疫情雖仍嚴峻，但考量我國與全球各地具密切往來關係，為使重要國際商務活動能逐漸恢復正常運作及振興國內經濟，且檢視去年短期商務人士申請縮短居家檢疫的實施情形，可藉由規範申請者於縮短居家檢疫期間，配合落實加強自主健康管理各項防護措施，以有效降低社區傳播風險；此外，考量全球疫情自今年1月中達高峰後已趨緩，故自3月1日起恢復低/中低風險國家/地區的可入境人士來臺從事短期商務者申請縮短居家檢疫。
",2021-02
2021-02-24,延續臺灣優質醫療及貢獻，3月1日起恢復非本國籍人士有條件入臺就醫,"中央流行疫情指揮中心今(24)日表示，現考量國內疫情穩定，且醫療量能尚有餘裕，自3月1日起，除健康檢查、美容醫學等非急迫性醫療需求外，國際醫療病患可透過醫療機構檢具相關資料、文件向衛生福利部提出申請，該部將依其醫療必要性、療程延續性及風險性等原則進行審查許可，協助海外人士來臺接受必要的醫療服務。
指揮中心指出，我國長期推動國際醫療服務，協助各國來臺就醫的病人，屢受國際媒體報導，並藉此深化國際友誼。惟因全球COVID-19疫情影響，中央流行疫情指揮中心自今(2021)年1月1日起，再次限縮非本國籍人士入境，也因此使部份國外病人無法來臺而中斷治療。現考量國內疫情穩定，並為延續「Taiwan can help, and Taiwan is helping!」的精神，自3月1日起恢復非本國籍人士有條件入臺就醫。
指揮中心表示，有來臺就醫需求者，可申請其配偶或3親等內親屬2人陪同，必要時得增加1位居住國的醫事人員或其他照護者隨行，所需文件、資料包含：醫療保險證明、檢疫切結書、入境健康證明(表定航班時間前3日內COVID-19核酸檢驗報告)，及收治醫療機構擬定的入境防疫計畫、醫療計畫書等，由醫療機構代申請人向衛生福利部提出入境就醫許可申請，醫療機構於取得衛生福利部同意函後，逕赴相關機關(構)辦理特別入境許可(程序如附件)。
指揮中心進一步說明，經許可入境來臺就醫及其陪同者，需於旅客報到（check in）或登機時，均應主動向航空公司出示「表定航班時間前3日內COVID-19核酸檢驗報告」，並於航程期間全程配戴口罩；入境後應依指揮中心規定進行14天居家檢疫，並於檢疫期間屆滿時配合採檢措施，檢驗結果為陰性者，始得至醫療機構接受醫療服務，但若有緊急醫療需要者，則可由收治醫療機構直接安排入住專責病房或負壓隔離病房住院，經1次採檢結果為陰性後，接受醫療處置，但於14天檢疫期間需比照COVID-19疑似個案進行照護。另申請人在臺期間之各項檢疫費、採檢費、醫療診治費用皆為自費，收治的醫療機構並應負責協助安排其檢疫及採檢措施，包含防疫旅館住所、防疫交通接送、就醫前COVID-19核酸檢驗採檢安排、就醫療程安排等必要措施。
指揮中心強調，我國展現優質醫療服務及回饋貢獻國際時，仍秉持邊境風險嚴管原則，並針對申請入臺就醫者，規劃完善防疫管理措施，降低外來人士入境後發生社區及醫院內感染的風險，持續為國人健康安全把關。如有申請非本國籍人士入臺就醫相關疑問，請逕洽衛福部國際醫療管理工作小組：(02)2885-1528。


",2021-02
2021-02-23,國內外攏ㄟ通！1922疫情通報及諮詢專線，24小時不打烊,"中央流行疫情指揮中心今(23)日表示，鑑於2003年我國發生SARS疫情，民眾大量進線詢問傳染病相關疑問，防疫人員耗費多時解答民眾疑慮，進而影響防疫工作，遂於2004年建置「1922民眾疫情通報與諮詢服務中心」，並委託中華電信營運。今邀請中華電信莊文明協理，說明1922專線這一年來協助COVID-19疫情，解答民眾疑慮、舒緩民眾情緒，及相關因應作為。1922專線提供全年無休且24小時免付費之國、台、客、英及聽(語)障之疫情通報與傳染病諮詢服務。
自COVID-19疫情發生，截至本(2021)年1月底，該專線總進線已達202萬通，較2019年疫情發生前增加約30倍，其中後送相關業務單位及部會共計約8.4萬多件。為因應民眾大量進線，客服中心於短時間緊急調度人力支援，人員由原先16人增加至300餘人，以有效紓解客服中心話務量。
另民眾進線1922專線前三大諮詢類別包括：隔離/請假/自主管理、居家檢疫相關注意事項(如：居家檢疫期間就醫領藥、垃圾清理、供餐等)以及居家檢疫安置問題(如：1人1戶原則、預訂防疫旅宿/集中檢疫所、有生活照顧需求能否共同一戶)等。
指揮中心提醒，因應COVID-19疫情變化及相關政策發布，民眾如有防疫相關問題，均可撥打1922專線(國外可撥打+886-800-001922)進一步諮詢。此外，聽語障朋友亦可將傳染病諮詢傳送至cdc1922＠cdc.gov.tw信箱或傳真(電話：0800-655955)，隨後將由1922客服人員儘速回復；另該專線亦設有語音留言服務，如民眾不願線上等候，可利用語音留言，後續將由專人回電。

",2021-02
